Trace 0,0.015221691690385342
MSE 0,0.028110550716519356
Random MSE 0,0.047792088240385056
Trace 1,0.01622105948626995
MSE 1,0.03007558174431324
Random MSE 1,0.06605376303195953
Trace 2,0.013265128247439861
MSE 2,0.02129966951906681
Random MSE 2,0.07946600019931793
Trace 3,0.014872209168970585
MSE 3,0.024259228259325027
Random MSE 3,0.049568235874176025
Trace 4,0.014868374913930893
MSE 4,0.04086533933877945
Random MSE 4,0.06800824403762817
Trace 5,0.014054957777261734
MSE 5,0.037634335458278656
Random MSE 5,0.08062092959880829
Trace 6,0.020761029794812202
MSE 6,0.02934756502509117
Random MSE 6,0.0766824409365654
Trace 7,0.018184000626206398
MSE 7,0.03935889154672623
Random MSE 7,0.07875439524650574
Trace 8,0.02293991670012474
MSE 8,0.030576741322875023
Random MSE 8,0.07806836813688278
Trace 9,0.023689676076173782
MSE 9,0.031010698527097702
Random MSE 9,0.07523805648088455
Trace 10,0.01634032092988491
MSE 10,0.03994894400238991
Random MSE 10,0.07879810035228729
Trace 11,0.01992654614150524
MSE 11,0.026516159996390343
Random MSE 11,0.07807265967130661
Average Trace,0.017528742629413802
Average MSE,0.03158364212140441
Average Random MSE,0.07142694015055895
