Trace 0,0.006563364993780851
MSE 0,0.02720499411225319
Random MSE 0,0.04922338202595711
Trace 1,0.008890611119568348
MSE 1,0.03711884841322899
Random MSE 1,0.06696564704179764
Trace 2,0.003946131095290184
MSE 2,0.044234540313482285
Random MSE 2,0.08125470578670502
Trace 3,0.008885935880243778
MSE 3,0.02777879498898983
Random MSE 3,0.04941432550549507
Trace 4,0.007851798087358475
MSE 4,0.033420514315366745
Random MSE 4,0.06778457015752792
Trace 5,0.003825234482064843
MSE 5,0.04076172783970833
Random MSE 5,0.07821201533079147
Trace 6,0.006991127971559763
MSE 6,0.03618880361318588
Random MSE 6,0.07494091242551804
Trace 7,0.007872912101447582
MSE 7,0.04696556553244591
Random MSE 7,0.07859887927770615
Trace 8,0.00791146606206894
MSE 8,0.036494314670562744
Random MSE 8,0.07832441478967667
Trace 9,0.011089466512203217
MSE 9,0.0366935208439827
Random MSE 9,0.07650094479322433
Trace 10,0.008441464975476265
MSE 10,0.04218658059835434
Random MSE 10,0.0763898640871048
Trace 11,0.007401605602353811
MSE 11,0.03592495620250702
Random MSE 11,0.07632660865783691
Average Trace,0.007472593240284671
Average MSE,0.03708109678700566
Average Random MSE,0.07116135582327843
