Trace 0,0.012657416984438896
MSE 0,0.03168327361345291
Random MSE 0,0.04810376092791557
Trace 1,0.01044338196516037
MSE 1,0.03863072767853737
Random MSE 1,0.06673988699913025
Trace 2,0.007010058965533972
MSE 2,0.029796600341796875
Random MSE 2,0.078895203769207
Trace 3,0.005529171787202358
MSE 3,0.03225306421518326
Random MSE 3,0.048295699059963226
Trace 4,0.010477426461875439
MSE 4,0.04537203162908554
Random MSE 4,0.06796497106552124
Trace 5,0.010194526985287666
MSE 5,0.04192116856575012
Random MSE 5,0.07844983041286469
Trace 6,0.012795090675354004
MSE 6,0.05133089795708656
Random MSE 6,0.07259555160999298
Trace 7,0.010075758211314678
MSE 7,0.0605485774576664
Random MSE 7,0.07842408865690231
Trace 8,0.004731212742626667
MSE 8,0.05133099853992462
Random MSE 8,0.07734856009483337
Trace 9,0.013695013709366322
MSE 9,0.06201474368572235
Random MSE 9,0.07485375553369522
Trace 10,0.011763492599129677
MSE 10,0.06564637273550034
Random MSE 10,0.07770098745822906
Trace 11,0.010488614439964294
MSE 11,0.07370965927839279
Random MSE 11,0.07680565863847733
Average Trace,0.009988430460604528
Average MSE,0.04868650964150826
Average Random MSE,0.07051482951889436
