Trace 0,0.0030027038883417845
MSE 0,0.036662258207798004
Random MSE 0,0.047688309103250504
Trace 1,0.002238492015749216
MSE 1,0.03844672814011574
Random MSE 1,0.06644941866397858
Trace 2,0.004462183453142643
MSE 2,0.04895799979567528
Random MSE 2,0.08149904757738113
Trace 3,0.007245327811688185
MSE 3,0.036717262119054794
Random MSE 3,0.050295840948820114
Trace 4,0.001727379742078483
MSE 4,0.035213079303503036
Random MSE 4,0.0690714418888092
Trace 5,0.001925308140926063
MSE 5,0.04996081814169884
Random MSE 5,0.07824989408254623
Trace 6,0.002139359712600708
MSE 6,0.055175621062517166
Random MSE 6,0.07567793875932693
Trace 7,0.003898577531799674
MSE 7,0.054457154124975204
Random MSE 7,0.08033071458339691
Trace 8,0.0035457639023661613
MSE 8,0.06092584505677223
Random MSE 8,0.07764343917369843
Trace 9,0.006151240319013596
MSE 9,0.05764696002006531
Random MSE 9,0.07588444650173187
Trace 10,0.004084743559360504
MSE 10,0.042062126100063324
Random MSE 10,0.07751555740833282
Trace 11,0.004470040090382099
MSE 11,0.06296661496162415
Random MSE 11,0.0787639170885086
Average Trace,0.0037409266806207597
Average MSE,0.04826603891948859
Average Random MSE,0.07158916381498177
